feature,importance,importance_pct
num__overall_delay_factor,0.24560544,24.56
num__delay_ratio,0.19561511,19.56
cat__road_type_urban,0.14392957,14.39
num__planned_travel_min,0.13226438,13.23
num__incident_severity,0.059562203,5.96
num__distance_from_prev_km,0.035925224,3.59
num__delay_probability,0.023086708,2.31
cat__road_type_highway,0.018534763,1.85
cat__traffic_level_low,0.016946936,1.69
cat__weather_condition_fog,0.015727676,1.57
num__temperature_c,0.012110507,1.21
cat__traffic_level_high,0.011928886,1.19
cat__road_type_rural,0.01064535,1.06
cat__congestion_category_low,0.010564903,1.06
cat__road_type_mountain,0.008068813,0.81
num__package_count,0.0048219576,0.48
cat__t_traffic_level_high,0.0047728242,0.48
num__stop_sequence,0.0046608597,0.47
num__cumulative_delay_at_stop,0.0045509418,0.46
cat__w_road_surface_condition_snow_covered,0.0039815856,0.4
num__t_free_flow_speed_kmh,0.0037212023,0.37
num__day_of_month,0.0029925795,0.3
cat__vehicle_type_car,0.0029896486,0.3
cat__vehicle_type_truck,0.0029577457,0.3
num__t_congestion_ratio,0.0029158005,0.29
num__wind_speed_kmh,0.002253493,0.23
num__hour_of_day,0.0017364108,0.17
cat__vehicle_type_van,0.0016797569,0.17
cat__weather_condition_snow,0.0016652497,0.17
num__planned_service_min,0.0014018981,0.14
cat__traffic_level_congested,0.0013288185,0.13
num__congestion_delay_factor,0.0012435425,0.12
num__visibility_km,0.0009776031,0.1
num__precipitation_mm,0.00082578283,0.08
num__humidity_pct,0.00076661614,0.08
num__effective_visibility,0.00066185405,0.07
num__t_current_speed_kmh,0.0006112392,0.06
num__day_of_week,0.00052631635,0.05
cat__t_traffic_level_low,0.00048563845,0.05
num__w_temperature_c,0.00035821024,0.04
num__month,0.00034293166,0.03
cat__congestion_category_missing,0.0003407541,0.03
num__w_visibility_km,0.00031545368,0.03
num__w_wind_speed_kmh,0.00030850322,0.03
num__congestion_ratio_eff,0.000301312,0.03
num__distance_to_next_stop,0.00025865328,0.03
num__weight_per_package,0.00023580022,0.02
cat__time_of_day_category_night,0.00023477756,0.02
cat__vehicle_type_motorcycle,0.00023107695,0.02
num__package_weight_kg,0.00019604883,0.02
cat__t_traffic_level_moderate,0.00017786137,0.02
num__speed_ratio,0.00016014147,0.02
cat__w_precipitation_type_none,0.0001326302,0.01
cat__time_of_day_category_evening,0.00012299216,0.01
num__weather_severity_index,0.000104315,0.01
cat__w_weather_condition_rain,8.258148e-05,0.01
cat__weather_condition_rain,8.188009e-05,0.01
cat__t_traffic_level_congested,6.956545e-05,0.01
cat__time_of_day_category_midday,6.492795e-05,0.01
cat__w_road_surface_condition_icy,6.320178e-05,0.01
num__w_humidity_pct,6.211304e-05,0.01
cat__w_weather_condition_clear,6.065048e-05,0.01
num__w_delay_risk_score,5.692616e-05,0.01
num__w_precipitation_mm,5.4289627e-05,0.01
cat__w_weather_condition_fog,5.1886873e-05,0.01
num__is_weekend,4.631717e-05,0.0
num__is_rush_hour,4.125174e-05,0.0
cat__w_road_surface_condition_dry,3.7585167e-05,0.0
cat__time_of_day_category_late_night,3.7462793e-05,0.0
cat__w_weather_condition_snow,3.224219e-05,0.0
cat__w_weather_condition_missing,3.118701e-05,0.0
cat__time_of_day_category_morning_rush,3.0299698e-05,0.0
cat__weather_condition_clear,3.013104e-05,0.0
cat__time_of_day_category_afternoon_rush,2.8518314e-05,0.0
cat__t_traffic_level_missing,2.7846276e-05,0.0
cat__precip_intensity_cat_moderate,2.704323e-05,0.0
cat__traffic_level_moderate,2.4735853e-05,0.0
cat__weather_condition_cloudy,2.3610823e-05,0.0
cat__weather_condition_wind,2.2302947e-05,0.0
cat__precip_intensity_cat_heavy,1.2698115e-05,0.0
cat__w_weather_condition_wind,1.2679617e-05,0.0
cat__w_weather_condition_cloudy,1.2510118e-05,0.0
cat__precip_intensity_cat_none,6.239387e-06,0.0
cat__congestion_category_free_flow,0.0,0.0
cat__congestion_category_moderate,0.0,0.0
cat__precip_intensity_cat_light,0.0,0.0
cat__w_road_surface_condition_missing,0.0,0.0
cat__w_road_surface_condition_wet,0.0,0.0
cat__w_precipitation_type_missing,0.0,0.0
cat__w_precipitation_type_rain,0.0,0.0
cat__w_precipitation_type_snow,0.0,0.0
